Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,Application ID,Application Description,Short Description,Lots,DECISION,Approval Date,Approval Year,APPLICATION_NO,RAM_PROCESS_CTR,locality,legal_description,formatted_address,Determined By,TR TYPE,CHARGE_TYPE,Initial Balance,Charge Amount,Amount,CHARGE_CTR,Reference
S94-13,Other,S94-13 - Eviron Cemetery,2431,0,,,,,2431,DA20/0108,"19 lot community title subdivision, 18 dwelling houses, tree removal, earthworks and other ancillary works (staged development)","19 lot community title subdivision, 18 dwelling houses, tree",19,Approved,2021-12-15,2021,845467,845467,MURWILLUMBAH,Lot 2 DP 564549,42 North Arm Road MURWILLUMBAH NSW 2484,Council,LEVIED,ResDevt13,2431,2431,2431,12153372,
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-71,0,,,0,DA17/0049,two lot subdivision,two lot subdivision,2,Approved,2017-08-14,2017,731163,731163,BANORA POINT,Lot 2 DP 567071,22 Raward Avenue BANORA POINT NSW 2486,Council,PAID,CasualOS_5,71,71,-71,9014596,
S94-04,Roads,S94-04 - Road Contribution Sector 05,3150,0,,,,,3150,DA21/0806,detached dual occupancy,detached dual occupancy,2,Approved,2022-12-09,2022,909295,909295,TERRANORA,Lot 2 DP 1264394,77 Henry Lawson Drive TERRANORA NSW 2486,Council,LEVIED,Sector5_4,3150,3150,3150,12822385,
S94-18,Other,S94-18 - Council Admin/Support Facilities,264.38,"DA17/0541 (as per amendment 8/7/19)JT,DA17/0541 (as per amendment 8/7/19)JT",,,,,0,DA17/0541,additions to animal boarding kennels and demolition of an existing kennel building,additions to animal boarding kennels and demolition of an ex,1,Approved,2017-12-01,2017,751443,751443,CLOTHIERS CREEK,"Lot 5 DP 703258
Lot 9 DP 726503",999 Clothiers Creek Road CLOTHIERS CREEK NSW 2484,Council,LEVIED,Shirewide,229.19,229.19,264.38,9137440,"DA17/0541 (as per amendment 8/7/19)JT,DA17/0541 (as per amendment 8/7/19)JT"
S94-04,Roads,S94-04 - Road Contribution Sector 02,8887.43,DA16/0617 (reductions for Ministers Cap) AM,,,,,8887.43,DA16/0617,2 lot subdivision and dwelling,2 lot subdivision and dwelling,1,Approved,2017-04-05,2017,713497,713497,BANORA POINT,Lot 40 DP 263366,21 Mariners Crescent BANORA POINT NSW 2486,Council,LEVIED,Sector2_4,8887.43,8887.43,8887.43,8282538,DA16/0617 (reductions for Ministers Cap) AM
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),4568,DA17/0658 (as per recalc 6/12/21)JT,,,,,0,DA17/0658,multi dwelling housing comprising four townhouses,multi dwelling housing comprising four townhouses,4,Approved,2018-08-16,2018,755996,755996,BANORA POINT,Lot 1 DP 615134,2 Fraser Drive BANORA POINT NSW 2486,Council,LEVIED,ComFac15,4568,4568,4568,9708059,DA17/0658 (as per recalc 6/12/21)JT
S94-04,Roads,S94-04 - Road Contribution Sector 12b,11707.74,DA18/0750 (as per recalc 23/8/21) AM,,,,,0,DA18/0750,2 lot subdivision,2 lot subdivision,2,Approved,2019-02-15,2019,791133,791133,SMITHS CREEK,Lot 4 DP 255027,131 Smiths Creek Road SMITHS CREEK NSW 2484,Council,LEVIED,Sector12b4,11707.74,11707.74,11707.74,9887547,DA18/0750 (as per recalc 23/8/21) AM
S94-12,Roads,S94-12 - Bus Shelters,,,-469,0,,,0,DA15/0773,multi-dwelling housing consisting of 12 townhouses,multi-dwelling housing consisting of 12 townhouses,12,Approved,2016-03-03,2016,676755,676755,KINGSCLIFF,Lot 358 DP 1162588,33 Sailfish Way KINGSCLIFF NSW 2487,Council,PAID,Over10ET,469,469,-469,7564821,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1457,0,,,,,0,DA16/0762,Stage 1: change of use of existing units to permanent residential; 2 lot subdivision and 60 lot strata subdivision,Stage 1: change of use of existing units to permanent reside,3,Approved,2017-10-06,2017,719926,719926,BILAMBIL HEIGHTS,Lot 30 DP 850230 Transmission Line E'ment,61 Marana Street BILAMBIL HEIGHTS NSW 2486,Council,LEVIED,ComFac15,1457,1457,1457,9075910,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),297340,0,,,,,297340,DA21/0689,"demolition of existing buildings and the construction of a 12 storey residential flat building containing 95 units and part 3 and part 5 levels of basement parking, tree removal and strata subdivision (NRPP)",demolition of existing buildings and the construction of a 1,95,Court Appr,2022-11-04,2022,906199,906199,TWEED HEADS,Lot 4 DP 23888,7 Pearl Street TWEED HEADS NSW 2485,Court,LEVIED,StrucOS_26,297340,297340,297340,12794343,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-3291,0,,,0,DA18/0518,alterations and additions to upper level of existing Imperial Hotel,alterations and additions to upper level of existing Imperia,1,Approved,2018-12-12,2018,783382,783382,MURWILLUMBAH,Lot 2 DP 596914,115 Murwillumbah Street MURWILLUMBAH NSW 2484,Council,PAID,CasOS_26,3291,3291,-3291,9831350,
S94-13,Other,S94-13 - Eviron Cemetery,21,0,,,,,21,DA16/0572,use of unauthorised works comprising internal and external alterations and additions to a dual occupancy,use of unauthorised works comprising internal and external a,1,Approved,2017-02-20,2017,712137,712137,KINGSCLIFF,Lot 2 SP 16253,2/44 Vulcan Street KINGSCLIFF NSW 2487,Council,LEVIED,ResDevt13,21,21,21,8227954,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1411,0,,,,,0,DA15/0485,detached dual occupancy,detached dual occupancy,2,Approved,2015-09-23,2015,668103,668103,POTTSVILLE,"Lot 1503 DP 1207462
Being Lots 1-2 SP 93053",9 Bonville Street POTTSVILLE NSW 2489,Council,LEVIED,ComFac15,1411,1411,1411,7392657,
S94-22,Roads,S94-22 - Cycleways,395,0,,,,,395,DA18/0551,demolition of existing dwelling and construction of an attached dual occupancy,demolition of existing dwelling and construction of an attac,2,Approved,2018-11-09,2018,784492,784492,TWEED HEADS SOUTH,Lot 3 DP 543048,4 Parry Street TWEED HEADS SOUTH NSW 2486,Council,LEVIED,Shirewid22,395,395,395,9797616,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-376.1,0,,,0,DA20/0332,alterations and additions to an existing dual occupancy and demolition works,alterations and additions to an existing dual occupancy and ,1,Approved,2020-11-02,2020,854489,854489,KINGSCLIFF,Lot 2 SP 97794,2/24-26 Hungerford Lane KINGSCLIFF NSW 2487,Council,PAID,Shirewide,376.1,376.1,-376.1,11409927,
S94-13,Other,S94-13 - Eviron Cemetery,188,0,,,,,0,DA16/0635,demolition of existing structures and construction of 2 detached dual occupancies over two lots (4 residential units),demolition of existing structures and construction of 2 deta,1,Approved,2017-02-09,2017,713981,713981,BANORA POINT,Lots 33-34 DP 1231602,22 Anthony Avenue BANORA POINT NSW 2486,Council,LEVIED,ResDevt13,188,188,188,8220136,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),1621,0,,,,,0,DA16/0053,single storey dual occupancy,single storey dual occupancy,2,Approved,2016-04-08,2016,689183,689183,MURWILLUMBAH,Lot 359 DP 1196575,23 Talganda Terrace MURWILLUMBAH NSW 2484,Council,LEVIED,StrucOS_26,1621,1621,1621,7592122,
S94-04,Roads,S94-04 - Road Contribution Sector 11,68670,0,,,,,41202,DA21/0966,erection of shed to be used for agricultural produce industry,erection of shed to be used for agricultural produce industr,1,Approved,2022-09-16,2022,916208,916208,SLEEPY HOLLOW,Lot 104 DP 1255992,25 Sleepy Hollow Road SLEEPY HOLLOW NSW 2483,Council,LEVIED,Sector11_4,68670,68670,68670,12741169,
S94-05,Open Space,S94-05 - Structured Open Space (Local),10395.84,0,,,,,10395.84,DA18/0398,17 lot residential subdivision,17 lot residential subdivision,17,Approved,2019-06-12,2019,778744,778744,BRAY PARK,Lot A DP 374054,11 Edward Street BRAY PARK NSW 2484,Council,LEVIED,StructOS_5,10395.84,10395.84,10395.84,10009375,
S94-04,Roads,S94-04 - Road Contribution Sector 10,,,-72228,"DA21/0652 (40% Emp Gen Dev)JT,DA21/0652 (100% Elgible Bus Enterprise)JT",,,0,DA21/0652,"change of use to a specialised retail premises and office, including signage","change of use to a specialised retail premises and office, i",1,Approved,2022-06-16,2022,904949,904949,SOUTH MURWILLUMBAH,Lot 3 DP 1105863,63 Tweed Valley Way SOUTH MURWILLUMBAH NSW 2484,Council,PAID,Sector10_4,72228,72228,-72228,12328297,"DA21/0652 (40% Emp Gen Dev)JT,DA21/0652 (100% Elgible Bus Enterprise)JT"
S94-07,Open Space,S94-07 - West Kcliff Open Space,9935,0,,,,,0,DA19/0450,"multi dwelling housing (four (4) detached residential dwellings), and strata subdivision",multi dwelling housing (four (4) detached residential dwelli,4,Approved,2020-01-24,2020,822584,822584,KINGSCLIFF,"Lot 47 DP 1269131 
Being Lots 1-4 SP 102447",47 Kingscliff Street KINGSCLIFF NSW 2487,Council,LEVIED,StructOS_7,9935,9935,9935,10842480,
S94-12,Roads,S94-12 - Bus Shelters,59,0,,,,,59,DA16/0334,"multi dwelling housing (four units), strata subdivision, demolition, earthworks and vegetation clearing","multi dwelling housing (four units), strata subdivision, dem",4,Approved,2016-08-23,2016,701729,701729,KINGSCLIFF,Lot 7 Sec 1 DP 7309,14 Olga Street KINGSCLIFF NSW 2487,Council,LEVIED,Over10ET,59,59,59,8020116,
S94-18,Other,S94-18 - Council Admin/Support Facilities,1689.08,0,,,,,0,DA20/0416,"dual occupancy (attached) with dual use as residential and tourist and visitor accommodation, two pools, and strata subdivision",dual occupancy (attached) with dual use as residential and t,1,Approved,2020-12-09,2020,857263,857263,KINGSCLIFF,"Lot 9 DP 1262504
Being Lots 1-2 SP 104140",80A Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Shirewide,1689.08,1689.08,1689.08,11454708,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-1311,0,,,0,CDC22/0113,New Construction of Dual Occupancy (Class 1a) & New Construction of Attached Garages & New Construction of Retaining Walls,New Construction of Dual Occupancy (Class 1a) & New Construc,,Approved,2022-09-27,2022,947714,947714,TWEED HEADS,Lot 9 DP 21234,7 Florence Street TWEED HEADS NSW 2485,Council,PAID,CasOS_26,1311,1311,-1311,12769575,
S94-22,Roads,S94-22 - Cycleways,307,0,,,,,0,DA19/0242,erection of dwelling to create detached dual occupancy and a detached garage and carport,erection of dwelling to create detached dual occupancy and a,1,Approved,2019-10-25,2019,811142,811142,POTTSVILLE,"Lot 1 DP 1273084
Being Lots 1-2 SP 105030",52 Royal Drive POTTSVILLE NSW 2489,Council,LEVIED,Shirewid22,307,307,307,10757086,
S94-18,Other,S94-18 - Council Admin/Support Facilities,677.43,0,,,,,0,DA19/0858,extensions to existing storage shed,extensions to existing storage shed,1,Approved,2020-05-19,2020,838754,838754,TWEED HEADS SOUTH,Lot 9 DP 246253,27 Machinery Drive TWEED HEADS SOUTH NSW 2486,Council,LEVIED,Shirewide,677.43,677.43,677.43,10961426,
S94-13,Other,S94-13 - Eviron Cemetery,,,-16,0,,,0,DA17/0049,two lot subdivision,two lot subdivision,2,Approved,2017-08-14,2017,731163,731163,BANORA POINT,Lot 2 DP 567071,22 Raward Avenue BANORA POINT NSW 2486,Council,PAID,ResDevt13,16,16,-16,9014603,
S94-23,Other,S94-23 - Shire Wide Carparking (Pottsville),,,-105578,0,,,0,DA15/0642,"additions and alterations to the existing Pottsville IGA, reconfiguration of the carpark and a new vehicular access","additions and alterations to the existing Pottsville IGA, re",1,Approved,2016-01-13,2016,672474,672474,POTTSVILLE,Lot 5 DP 1121923,11-13 Coronation Avenue POTTSVILLE NSW 2489,Council,PAID,Pville23,105578,105578,-105578,7512393,
S94-22,Roads,S94-22 - Cycleways,169,0,,,,,0,DA18/0526,change of use of Lot 108 from tourist only to dual use shop top housing and serviced apartments,change of use of Lot 108 from tourist only to dual use shop ,1,Approved,2018-08-22,2018,783444,783444,TWEED HEADS,Lot 108 SP 79995,108/20-22 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,Shirewid22,169,169,169,9714686,
S94-18,Other,S94-18 - Council Admin/Support Facilities,3109.37,0,,,,,0,DA18/0519,"multi dwelling housing comprising three dwellings, the use of one dwelling as bed and breakfast accommodation and ancillary structures including water tanks and detached storage unit","multi dwelling housing comprising three dwellings, the use o",1,DefdComnce,2020-06-09,2020,783384,783384,BILAMBIL HEIGHTS,Lot 1 DP 775668,217 McAllisters Road BILAMBIL HEIGHTS NSW 2486,Council-Deferred,LEVIED,Shirewide,3109.37,3109.37,3109.37,10982161,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),4264,DA17/0096 (as per recalc 18/9/18),,,,,0,DA17/0096,detached dual occupancy and strata subdivision,detached dual occupancy and strata subdivision,2,Approved,2017-05-11,2017,733344,733344,TWEED HEADS SOUTH,"Lot 40 DP 1255175
Being Lots 1-2 SP 100011",26 Cooloon Crescent TWEED HEADS SOUTH NSW 2486,Council,LEVIED,StrucOS_26,4264,4264,4264,8319894,DA17/0096 (as per recalc 18/9/18)
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,250049.5,"DA17/0381 (Stg 1),DA17/0381 (Stg 2),DA17/0381 (Stg 3),DA17/0381 (Stg 2 adj for recalc) KLM,DA17/0381 (Stg 2 adj for recalc) KLM,DA17/0381 (Stg 2 as per recalc) KLM,DA17/0381 (Stg 1 as per recalc 22/5/19)JT,DA17/0381 (Stg 2 as per recalc 22/5/19)JT,DA17/0381 (Stg 3 as per recalc 22/5/19)JT,DA17/0381 (Stg 2 as per recalc 18/10/19) AM,DA17/0381 (Stg3 as per recalc 18/10/19) AM",,,,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,Approved,2017-11-06,2017,745613,745613,KINGSCLIFF,Lot 54 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Sector7_4,130758.1,130758.1,250049.5,9108093,"DA17/0381 (Stg 1),DA17/0381 (Stg 2),DA17/0381 (Stg 3),DA17/0381 (Stg 2 adj for recalc) KLM,DA17/0381 (Stg 2 adj for recalc) KLM,DA17/0381 (Stg 2 as per recalc) KLM,DA17/0381 (Stg 1 as per recalc 22/5/19)JT,DA17/0381 (Stg 2 as per recalc 22/5/19)JT,DA17/0381 (Stg 3 as per recalc 22/5/19)JT,DA17/0381 (Stg 2 as per recalc 18/10/19) AM,DA17/0381 (Stg3 as per recalc 18/10/19) AM"
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-552,0,,,0,DA16/0024,detached dual occupancy,detached dual occupancy,2,Approved,2016-05-17,2016,688235,688235,HASTINGS POINT,"Lot 1 DP 1288801
Being Lots 1-2 SP 105681",75 Tweed Coast Road HASTINGS POINT NSW 2489,Council,PAID,CasualOS_5,552,552,-552,7631277,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),692,0,,,,,692,DA20/0467,dual occupancy (attached),dual occupancy (attached),1,Approved,2021-07-30,2021,858717,858717,RESERVE CREEK,Lot 11 DP 1024121,757 Round Mountain Road RESERVE CREEK NSW 2484,Council,LEVIED,ComFac15,692,692,692,12008224,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),3206,"DA19/0397 (Stg 2),DA19/0397 (Stg 3),DA19/0397 (Stg 4)",,,,,3206,DA19/0397,"staged proposal comprising multi dwelling housing (4 dwellings), earthworks, tree removal (1), four swimming pools, additional ancillary works and strata subdivision",staged proposal comprising multi dwelling housing (4 dwellin,2,Approved,2020-05-08,2020,821111,821111,TWEED HEADS,Lot 2 DP 1085558,5 Razorback Road TWEED HEADS NSW 2485,Council,LEVIED,CasOS_26,3206,3206,3206,10947496,"DA19/0397 (Stg 2),DA19/0397 (Stg 3),DA19/0397 (Stg 4)"
S94-22,Roads,S94-22 - Cycleways,,,-374,0,,,0,DA20/0489,dual occupancy (attached) and strata subdivision,dual occupancy (attached) and strata subdivision,2,Approved,2020-11-24,2020,859303,859303,KINGSCLIFF,Lot 2 DP 26293,30 Boomerang Street KINGSCLIFF NSW 2487,Council,PAID,Shirewid22,374,374,-374,11438808,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),2487,0,,,,,0,DA19/0242,erection of dwelling to create detached dual occupancy and a detached garage and carport,erection of dwelling to create detached dual occupancy and a,1,Approved,2019-10-25,2019,811142,811142,POTTSVILLE,"Lot 1 DP 1273084
Being Lots 1-2 SP 105030",52 Royal Drive POTTSVILLE NSW 2489,Council,LEVIED,StrucOS_26,2487,2487,2487,10757090,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),1215,DA17/0096 (as per recalc 18/9/18)JT,,,,,0,DA17/0096,detached dual occupancy and strata subdivision,detached dual occupancy and strata subdivision,2,Approved,2017-05-11,2017,733344,733344,TWEED HEADS SOUTH,"Lot 40 DP 1255175
Being Lots 1-2 SP 100011",26 Cooloon Crescent TWEED HEADS SOUTH NSW 2486,Council,LEVIED,CasOS_26,1215,1215,1215,8319895,DA17/0096 (as per recalc 18/9/18)JT
S94-26,Open Space,S94-26 - Casual Open Space (Regional),660,0,,,,,0,DA17/0307,erection of second dwelling to create dual occupancy (detached) and two lot strata subdivision,erection of second dwelling to create dual occupancy (detach,1,Approved,2017-10-13,2017,742278,742278,TERRANORA,"Lot 1 DP 1103563
Being Lots 1-2 SP 97743",598 Terranora Road TERRANORA NSW 2486,Council,LEVIED,CasOS_26,660,660,660,9082667,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),3974,0,,,,,0,DA17/0348,construction of new dwelling to create detached dual occupancy,construction of new dwelling to create detached dual occupan,1,Approved,2017-10-30,2017,744042,744042,TERRANORA,Lot 8 DP 804521,15 Federation Drive TERRANORA NSW 2486,Council,LEVIED,StrucOS_26,3974,3974,3974,9100458,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),2083,DA18/1030 (As per recalc) KLM,,,,,0,DA18/1030,demolition of existing structures and erection of dual occupancy (detached),demolition of existing structures and erection of dual occup,1,Approved,2019-06-27,2019,800136,800136,TWEED HEADS,Lot 311 DP 246199,43 The Quarterdeck TWEED HEADS NSW 2485,Council,LEVIED,ComFac15,1539,1539,2083,10017500,DA18/1030 (As per recalc) KLM
S94-05,Open Space,S94-05 - Structured Open Space (Local),0,DA14/0499 (as per S96 dated 27/11/2015) AM,,,,,0,DA14/0499,dwelling with attached double garage (as amended),dwelling with attached double garage (as amended),1,DefdComnce,2015-01-28,2015,634132,634132,SLEEPY HOLLOW,Lot 201 DP 1002166,489 Pottsville Road SLEEPY HOLLOW NSW 2483,Council-Deferred,LEVIED,StructOS_5,629,629,0,6883491,DA14/0499 (as per S96 dated 27/11/2015) AM
S94-22,Roads,S94-22 - Cycleways,,,-1388,0,,,0,DA18/0470,"demolition of existing building on site, excavation to establish garage and vehicle manoeuvring area and erection of multi-dwelling housing comprising four townhouses","demolition of existing building on site, excavation to estab",1,Approved,2018-10-30,2018,781501,781501,KINGSCLIFF,Lot 16 Sec 9 DP 758571,119 Kingscliff Street KINGSCLIFF NSW 2487,Council,PAID,Shirewid22,1388,1388,-1388,9789222,
S94-13,Other,S94-13 - Eviron Cemetery,,,-111,0,,,0,DA17/0254,alterations and additions to create detached dual occupancy and 2 lot strata subdivision,alterations and additions to create detached dual occupancy ,2,Approved,2017-08-31,2017,740384,740384,POTTSVILLE,"Lot 20 DP 1275710
Now Being Lots 1-2 SP 103486",7 Anne Street POTTSVILLE NSW 2489,Council,PAID,ResDevt13,111,111,-111,9034745,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-35766,0,,,0,DA16/0013,townhouse development comprising 16 units (residential and tourist use) & strata subdivision,townhouse development comprising 16 units (residential and t,16,Approved,2016-11-22,2016,687936,687936,KINGSCLIFF,Lot 391 DP 1162588,31 Seaside Drive KINGSCLIFF NSW 2487,Council,PAID,StrucOS_26,35766,35766,-35766,8124213,
S94-18,Other,S94-18 - Council Admin/Support Facilities,1434.8500000000001,DA14/0763 (as per re-calc) SH,,,,,0,DA14/0763,dual occupancy (attached),dual occupancy (attached),2,Approved,2015-02-17,2015,642933,642933,KINGSCLIFF,Lot 32 DP 21680,52 Sutherland Street KINGSCLIFF NSW 2487,Council,LEVIED,Shirewide,1412.92,1434.85,1434.8500000000001,6904275,DA14/0763 (as per re-calc) SH
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-714,0,,,0,DA18/0929,"demolition of existing dwelling, and construction and strata title subdivision of attached dual occupancy","demolition of existing dwelling, and construction and strata",1,Approved,2019-03-29,2019,795397,795397,KINGSCLIFF,Lot 11 DP 29844,8 Quigan Street KINGSCLIFF NSW 2487,Council,PAID,StructOS_5,714,714,-714,9931889,
S94-13,Other,S94-13 - Eviron Cemetery,1025,0,,,,,1025,DA20/0976,"residential flat building comprising 14 x 2 bedroom units, demolition of existing structures and removal of one tree","residential flat building comprising 14 x 2 bedroom units, d",15,Approved,2021-10-11,2021,874449,874449,TWEED HEADS,Lot 106 DP 237806,6 Ivory Crescent TWEED HEADS NSW 2485,Council,LEVIED,ResDevt13,1025,1025,1025,12082729,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-1511.51,0,,,0,DA15/0882,two lot subdivision,two lot subdivision,1,Approved,2016-04-08,2016,680278,680278,CHINDERAH,Lot 103 DP 1210713,23 Chinderah Road CHINDERAH NSW 2487,Council,PAID,ComFac15,1511.51,1511.51,-1511.51,7592291,
S94-04,Roads,S94-04 - Road Contribution Sector 11,,,-1940,0,,,0,DA19/0260,dual occupancy (detached),dual occupancy (detached),1,Approved,2019-08-05,2019,812371,812371,BURRINGBAR,Lot 3 Sec 1 DP 3090,15 Broadway BURRINGBAR NSW 2483,Council,PAID,Sector11_4,1940,1940,-1940,10668314,
S94-11,Community Facilities,S94-11 - Library Facilities,164,0,,,,,0,DA19/0107,"alterations and additions to Unit 1 and in-ground pool, attached pergola and fencing","alterations and additions to Unit 1 and in-ground pool, atta",1,Approved,2019-09-13,2019,805476,805476,BOGANGAR,Lot 1 SP 39877,1/40 Hastings Road BOGANGAR NSW 2488,Council,LEVIED,ResDevt11,164,164,164,10710778,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),326,0,,,,,0,DA16/0736,alterations to dual occupancy unit (unit 2),alterations to dual occupancy unit (unit 2),1,Approved,2017-02-10,2017,718855,718855,TWEED HEADS WEST,Lot 121A DP 30960,13 Gollan Drive TWEED HEADS WEST NSW 2485,Council,LEVIED,CasOS_26,326,326,326,8220971,
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,0,DA16/0795 (contrib being refunded #758240)JT,,,0,DA16/0795,two lot subdivision and use of an existing structure as a dwelling,two lot subdivision and use of an existing structure as a dw,2,DefdComnce,2018-02-22,2018,721192,721192,TERRAGON,Lot 7 DP 1178620,2063 Kyogle Road TERRAGON NSW 2484,Council-Deferred,PAID,StructOS_5,457.95,457.95,0,9216766,DA16/0795 (contrib being refunded #758240)JT
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-1457,0,,,0,DA17/0326,two lot subdivision,two lot subdivision,2,Approved,2017-09-28,2017,743138,743138,TERRANORA,Lot 1 DP 872747,21 Winchelsea Way TERRANORA NSW 2486,Council,PAID,ComFac15,1457,1457,-1457,9075226,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-2310,0,,,0,DA17/0634,"proposed conversion of an existing managers residence to permanent dwelling site, fence to Lot 336, alterations and additions to existing administration building/office (use only as works have already been done without development consent) and an extension to community building (use only as works have already been done without development consent) within an existing manufactured home estate",proposed conversion of an existing managers residence to per,1,Approved,2018-08-10,2018,755154,755154,TWEED HEADS WEST,Lot 1 DP 860569,192 Piggabeen Road TWEED HEADS WEST NSW 2485,Council,PAID,StrucOS_26,2310,2310,-2310,9700946,
S94-12,Roads,S94-12 - Bus Shelters,13,0,,,,,13,DA19/0666,alterations and additions to existing dual occupancy (attached) including carport,alterations and additions to existing dual occupancy (attach,1,Approved,2020-02-05,2020,830834,830834,BOGANGAR,"Lot 1701 DP 1243679
Being Lots 1-2 SP 101726",77 Cabarita Road BOGANGAR NSW 2488,Council,LEVIED,Over10ET,13,13,13,10857682,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1150,0,,,,,1150,DA20/0028,"dual occupancy (detached), including tree removal","dual occupancy (detached), including tree removal",2,Approved,2020-06-17,2020,841144,841144,TWEED HEADS SOUTH,Lot 14 DP 23323,20 Dry Dock Road TWEED HEADS SOUTH NSW 2486,Council,LEVIED,ComFac15,1150,1150,1150,10990102,
S94-07,Drainage,S94-07 - West Kcliff Community Drainage,,,-1938.4,0,,,0,DA20/0126,demolition and erection of a dual occupancy (attached) and strata subdivision,demolition and erection of a dual occupancy (attached) and s,2,Approved,2020-06-23,2020,846346,846346,KINGSCLIFF,Lot 9 Sec 7 DP 758571,73 Kingscliff Street KINGSCLIFF NSW 2487,Council,PAID,Drainage,1938.4,1938.4,-1938.4,10995847,
S94-04,Roads,S94-04 - Road Contribution Sector 05,,,-14599,0,,,0,DA18/0784,2 lot subdivision,2 lot subdivision,2,Approved,2019-06-13,2019,792049,792049,TERRANORA,Lot 2 DP 706332,77 Mahers Lane TERRANORA NSW 2486,Council,PAID,Sector5_4,14599,14599,-14599,10009576,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),839,0,,,,,0,DA16/0755,dual occupancy with swimming pools,dual occupancy with swimming pools,2,Approved,2017-03-08,2017,719674,719674,POTTSVILLE,"Lot 5 DP 1239225
Being Lots 1-2 SP 96938",24 Elanora Avenue POTTSVILLE NSW 2489,Council,LEVIED,CasOS_26,839,839,839,8257083,
S94-04,Roads,S94-04 - Road Contribution Sector 02,,,-8970,0,,,0,DA15/0175,four lot community title subdivision,four lot community title subdivision,3,Approved,2015-06-01,2015,657094,657094,BANORA POINT,"Lot 1 DP 1157487
Being Lots 1-4 NPP 271020",124 Leisure Drive BANORA POINT NSW 2486,Council,PAID,Sector2_4,8970,8970,-8970,6999874,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1661,0,,,,,0,DA20/0653,detached dual occupancy,detached dual occupancy,2,Approved,2020-12-16,2020,864121,864121,MURWILLUMBAH,"Lot 714 DP 1263014
Being Lots 1-2 SP 104105",20 Sorrel Court MURWILLUMBAH NSW 2484,Council,LEVIED,ComFac15,1661,1661,1661,11462165,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-281.51,0,,,0,DA21/0867,alterations and additions to existing dwelling including conversion of attached garage to a bedroom and bathroom,alterations and additions to existing dwelling including con,1,Approved,2022-01-28,2022,911802,911802,POTTSVILLE,Lot 2 SP 36537,2/21 Royal Drive POTTSVILLE NSW 2489,Council,PAID,Shirewide,281.51,281.51,-281.51,12185925,
S94-18,Other,S94-18 - Council Admin/Support Facilities,112.83,0,,,,,0,DA21/0832,change of use and alterations and additions including signage,change of use and alterations and additions including signag,6,Approved,2022-07-13,2022,910031,910031,TWEED HEADS SOUTH,Lot 104 DP 807099,36-38 Greenway Drive TWEED HEADS SOUTH NSW 2486,Council,LEVIED,Shirewide,112.83,112.83,112.83,12670056,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,48867,0,,,,,29320.2,DA19/0315,extensions to existing Salt Tavern,extensions to existing Salt Tavern,1,Approved,2019-09-12,2019,815787,815787,KINGSCLIFF,"Lot 7 SP 88254
Now Lot 8 SP 100557",7/49-61 Bells Boulevard KINGSCLIFF NSW 2487,Council,LEVIED,Sector7_4,48867,48867,48867,10710579,
